Property Name,Purchase Entire Building?,Vacant?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
"Chicago - 2139 W Irving Park Road  For Sale - 2,430",Y,Y,B1-1,On-Market,"Mixed Use, Office, Retail",2139 W Irving Park Rd,Chicago,IL,60618,Vacant,,,2430,$946.50 ,,,,,"$2,300,000.00 ",262,No,-87.6826684,41.9538677
120 S State St 8th Floor,N,N,,On-Market,Office,120 S State St 8th Floor,Chicago,IL,60603,Vacant,,,2300,,8,,,,"$998,000.00 ",135,No,-87.628112,41.8801547
East Village Two Units for Sale With Med-Spa,Y,N,B1-2,On-Market,"Mixed Use, Multifamily",848 N Ashland Ave,Chicago,IL,60622,Multi,,0.7,2100,$333.33 ,2,,"$70,064.00 ",10.01%,"$699,999.00 ",528,No,-87.66764264,41.89755083
5924 W Lawrence Avenue,Y,Y,Rtail,On-Market,"Retail, Office, Mixed Use",5924 W Lawrence Avenue,Chicago,IL,60630,Vacant,,,2000,,,,,,"$314,000.00 ",866,No,-87.7758336,41.9678632
Turn-Key RetailOffice Space for Sale or Lease in Lakeview,Y,Y,C1-2,On-Market,"Office, Retail",2048 W Belmont Ave Unit 1,Chicago,IL,60618,Vacant,,,1650,,1,,,,"$410,000.00 ",38,No,-87.68022727,41.93954337
Secure Dental,Y,N,B2-1,On-Market,Office,1828 W Foster Ave,Chicago,IL,60640,Multi,,,1500,,1,,"$59,863.00 ",7.53%,"$795,000.00 ",5,No,-87.6760005,41.976163
1933 S State,Y,Y,DX-5,On-Market,Office,1933 S State St,Chicago,IL,60616,Vacant,,,1400,$321.43 ,,,,,"$450,000.00 ",557,No,-87.6268289,41.8556429
Rare C2-2 Zoned Commercial Condo,Y,Y,C2-2,On-Market,"Office, Retail",1138 N Milwaukee Ave,Chicago,IL,60642,Vacant,,,1250,,1,,,,"$325,000.00 ",163,No,-87.66503888,41.90245669
1443 W. Belmont  Lakeview  Commercial Condo For SALE,Y,Y,B3-2,On-Market,"Office, Retail",1443 W Belmont Ave,Chicago,IL,60657,Vacant,,,1200,,1,,,,"$259,000.00 ",13,No,-87.66560286,41.93976626
4704 N Kenmore,Y,Y,b3-3,On-Market,Office,4704 N Kenmore Ave,Chicago,IL,60640,Single,,,1200,,12,,,,"$189,000.00 ",39,No,-87.6566456,41.9675504
15 S. Racine 1N - 0 Seller Financed,N,N,,On-Market,"Retail, Office",15 S Racine Ave,Chicago,IL,60607,Single,,0,1150,$347.83 ,1,,"$22,548.00 ",5.64%,"$400,000.00 ",1768,No,-87.6569642,41.8811084
3957 S. King Dr.  Retail Or Office Condo,N,N,,On-Market,"Office, Retail",3957 S King Dr,Chicago,IL,60653,Single,,,900,$388.89 ,,,"$15,600.00 ",,"$350,000.00 ",123,No,-87.6164462,41.8223081
1419 W. Belmont  Lakeview  Commercial Condo,Y,Y,B3-2,On-Market,"Office, Retail",1419 W Belmont Ave,Chicago,IL,60657,Vacant,,,900,,1,,,,"$279,000.00 ",13,No,-87.66475549,41.93977941
1449 W Irving Park,N,N,,On-Market,"Office, Retail",1449 W Irving Park Rd,Chicago,IL,60613,Vacant,,,850,$151.76 ,,,,,"$129,000.00 ",212,No,-87.66614,41.9541278
1455 W Irving Park,N,N,,On-Market,"Office, Retail",1455 W Irving Park Rd,Chicago,IL,60613,Vacant,,,650,$167.69 ,,,,,"$109,000.00 ",212,No,-87.6664129,41.954228
111 N. Wabash,N,N,,On-Market,Office,111 N. Wabash Ave,Chicago,IL,60602,Vacant,,,607,$329.49 ,,,,,"$200,000.00 ",295,No,-87.6259822,41.883567
111 N. Wabash,N,N,,On-Market,Office,"111 N Wabash Avenue, Chicago, Il.",Chicago,IL,60602,Vacant,,,415,$301.20 ,,,,,"$125,000.00 ",295,No,-87.6259822,41.883567
Vacant Owner-UserValue-Add Loop Office Condo  Suite 1500,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 1500",Chicago,IL,60601,Vacant,,,,,,,,,"$1,410,000.00 ",1048,No,-87.6300102,41.8864753
Koo Architects  Single-Tenant Office Investment,Y,N,,On-Market,Office,"55 W Wacker Drive, Suite 600-C",Chicago,IL,60601,Single,,1.5,,,,,"$107,389.00 ",8.59%,"$1,250,000.00 ",1048,No,-87.6300102,41.8864753
Vacant Owner-UserValue-Add Loop Office Condo  Suite 1210,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 1210",Chicago,IL,60601,Vacant,,,,,,,,,"$1,055,000.00 ",1048,No,-87.6300102,41.8864753
Instant Alliance  Single-Tenant Office Investment,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 600-D",Chicago,IL,60601,Single,,0.4,,,,,"$120,755.00 ",8.63%,"$1,400,000.00 ",1048,No,-87.6300102,41.8864753
"525-527 N. Ashland Ave, Chicago, IL",Y,N,,On-Market,"Mixed Use, Office, Retail",525-527 N Ashland Ave,Chicago,IL,60622,Multi,,,,,4,,"$4,400.00 ",0.31%,"$1,400,000.00 ",780,No,-87.66689904,41.89182017
Vacant Owner-UserValue-Add Loop Office Condo  Suite 200,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 200",Chicago,IL,60601,Vacant,,,,,,,,,"$1,575,000.00 ",1048,No,-87.6300102,41.8864753
Vacant Owner-UserValue-Add Loop Office Condo  Suite 350,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 350",Chicago,IL,60601,Vacant,,,,,,,,,"$1,065,000.00 ",1048,No,-87.6300142,41.8865033
Wicker Park - Retail  Medical with 23-car parking,Y,N,,On-Market,"Mixed Use, Office, Retail",1455 N Milwaukee Ave,Chicago,IL,60622,Multi,,,,,2,,"$435,121.00 ",7.63%,"$5,700,000.00 ",135,No,-87.6739506,41.9083711
J.T. Magen  Company  Single-Tenant Office Investment,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 1550",Chicago,IL,60601,Single,,1.3,,,,,"$85,378.00 ",8.02%,"$1,065,000.00 ",1048,No,-87.6298719,41.8864369
1331 S Michigan Avenue,Y,Y,DX-7,On-Market,"Retail, Office, Mixed Use",1331 S Michigan Avenue,Chicago,IL,60605,Vacant,,,,,,,,,"$1,499,000.00 ",1336,No,-87.6236706,41.8648464
State and Wabash Dual Offering,Y,N,DX-5,On-Market,"Mixed Use, Multifamily, Office, Retail",2001 S State St,Chicago,IL,60616,Multi,,,21896,,28,,"$879,608.00 ",,,1510,Yes,-87.6267314,41.855119
944 W Huron Street,Y,N,DS-3 Commercial,On-Market,Office,942 W Huron St,Chicago,IL,60642,Multi,,5,,,2,,,,"$1,800,000.00 ",578,No,-87.65171729,41.89504523
"Motor Row Opportunity Zone - 39,900 SF",Y,N,,On-Market,"Mixed Use, Office",2241 S Wabash Ave,Chicago,IL,60616,Vacant,,,,$106.52 ,3,,,,"$3,350,000.00 ",466,Yes,-87.6250414,41.8516494
Vacant Owner-UserValue-Add Loop Office Condo  Suite 600-B,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 600-B",Chicago,IL,60601,Vacant,,,,,,,,,"$505,000.00 ",1048,No,-87.6300102,41.8864753
Chinatown RestaurantRetail Space Unit 112,Y,Y,PMD,On-Market,"Office, Retail",2244 S Canal St,Chicago,IL,60616,Vacant,,,,,112113,,,,"$599,000.00 ",53,No,-87.63862748,41.85145422
Vacant Owner-UserValue-Add Loop Office Condo  Ste 710716,N,N,,On-Market,Office,"55 W Wacker Drive, Suite 710/716",Chicago,IL,60601,Vacant,,,,,,,,,"$800,000.00 ",1048,No,-87.6300102,41.8864753
