Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
1419 W. Belmont  Lakeview  Commercial Condo,On-Market,"Office, Retail",1419 W Belmont Ave,Chicago,IL,60657,Vacant,,,900,,1,,,,"$279,000.00 ",8,No,-87.66475549,41.93977941
Value Add-Fresenius-Chicago,On-Market,Office,3410 W Van Buren St,Chicago,IL,60624,Vacant,26.4,2.1,23253,$189.22 ,,,"$247,772.00 ",5.63%,"$4,400,000.00 ",243,No,-87.711387,41.875646
603-07 N. Wells st Chicago in River North,On-Market,Mixed Use,603 N Wells St,Chicago,IL,60654,N/A,,,,,,,,,"$3,650,000.00 ",223,No,-87.63387892,41.89262056
Central Loop Mixed-Use  Perfect for Owner-User or Investor,On-Market,"Land, Mixed Use, Office, Retail",6 S Clark St,Chicago,IL,60603,N/A,,,18306,,,,,,"$3,250,000.00 ",33,No,-87.6310743,41.8816957
1648 W. Kinzie Street,On-Market,"Industrial, Mixed Use, Office",1648 W Kinzie St,Chicago,IL,60622,Multi,,,30000,,,,,,,1884,No,-87.6686679,41.889012
Koo Architects  Single-Tenant Office Investment,On-Market,Office,"55 W Wacker Drive, Suite 600-C",Chicago,IL,60601,Single,,1.5,,,,,"$107,389.00 ",8.59%,"$1,250,000.00 ",1043,No,-87.6300102,41.8864753
6119 W 64th Place,On-Market,Multifamily,6119 W 64th Pl,Chicago,IL,60638,N/A,,,9000,,9,"$127,778.00 ","$60,324.00 ",5.25%,"$1,150,000.00 ",53,No,-87.7747416,41.7748134
4002 S Calumet,On-Market,"Land, Multifamily",4002 S Calumet Ave,Chicago,IL,60653,N/A,,,,,6,,"$123,841.00 ",6.20%,"$2,000,000.00 ",62,No,-87.61850516,41.8217527
Route 59  Heritage Woods Drive,On-Market,Retail,Route 59 & Heritage Woods Drive,West Chicago,IL,06492-4349,N/A,,,,,,,,,,49,Yes,NA,NA
Michigan Avenue Towers I  II - Multi-Tenant Retail Condo,On-Market,Retail,1250 S Michigan Ave,Chicago,IL,60605,Multi,,,17411,,9,,"$608,824.00 ",7.00%,"$8,699,000.00 ",64,No,NA,NA
6600 S Cottage Grove,On-Market,Retail,6600 S Cottage Grove Ave,Chicago,IL,60637,Multi,,,9800,,,,"$89,282.00 ",,,4,Yes,-87.6062657,41.774662
1755-1757-1759 W 79th St,On-Market,Retail,1755 W 79th St,Chicago,IL,60620,Multi,8,7,6818,,3,,,,"$360,000.00 ",32,Yes,-87.6682488,41.7502806
5130-42 N. Western Avenue,On-Market,Land,5130-5142 N. Western Avenue,Chicago,IL,60625,N/A,,,,,,,,,"$2,700,000.00 ",53,No,-87.68920764,41.9751722
5635 W Irving Park Rd,On-Market,"Retail, Industrial",5635 W Irving Park Rd,Chicago,IL,60634,N/A,,,3077,$173.87 ,,,,,"$535,000.00 ",7,No,-87.7684712,41.9529539
logan sq restaurant Building sale lease 595k  6k net,On-Market,"Hospitality, Retail",3581 W Belden Ave,Chicago,IL,60647,N/A,,,,,1,,,,"$595,000.00 ",33,No,-87.71695658,41.92256209
33 E. 83rd,On-Market,Retail,33 E. 83rd St,Chicago,IL,60619,Vacant,,,5053,,1,,,,"$1,225,000.00 ",144,No,-87.6231581,41.7435
Prime Single-Family Home or Convert to Multi-Unit,On-Market,Multifamily,"715 W 18th Street, Chicago, IL",Chicago,IL,60616,N/A,,,6667,,1,,,,"$675,000.00 ",145,No,-87.64545373,41.85758783
Chick-fil-A Ground Lease,On-Market,Retail,11301 S Corliss Ave,Chicago,IL,60628,Single,,14.9,4852,,,,"$150,000.00 ",4.45%,"$3,370,787.00 ",153,Yes,-87.600126,41.691825
2343 W Chicago Avenue,On-Market,Retail,2343 W Chicago Ave,Chicago,IL,60622,N/A,,,2500,$278.00 ,,,,,"$675,000.00 ",431,No,-87.6860643,41.8955424
Entertainment Center,On-Market,Special Purpose,N/A,North Chicago,IL,N/A,N/A,,,1,,,,,,,85,No,NA,NA
Marcus Theatres Outlots - Chicago Heights,On-Market,Land,1301 Hilltop Avenue,Chicago Heights,IL,60411,N/A,,,,,,,,,,1272,Yes,-87.6683141,41.5082681
"6218 S Western Ave , Chicago, IL 60636",On-Market,Mixed Use,6218 S Western Ave,Chicago,IL,60636,N/A,,,3190,$92.48 ,,,,0.00%,"$295,000.00 ",733,Yes,-87.6840532,41.7804619
Ware Ranch Steak House,On-Market,"Business for Sale, Mixed Use",11147 S Michigan Ave,Chicago,IL,60628,N/A,,,3600,$118.06 ,2,,,,"$425,000.00 ",277,Yes,-87.62101448,41.691204
2301-2323 W 95th Street,On-Market,Retail,2301-2323 W 95th Street,Chicago,IL,60643,Multi,,,20392,,,,"$220,555.00 ",,,2140,No,-87.679862,41.720671
1933 S State,On-Market,Office,1933 S State St,Chicago,IL,60616,Vacant,,,1400,$321.43 ,,,,,"$450,000.00 ",552,No,-87.6268289,41.8556429
705 N. Milwaukee Ave.,On-Market,Office,705 N Milwaukee Ave,Chicago,IL,60642,Single,,,3600,$229.17 ,1,,,,"$825,000.00 ",723,No,-87.65257597,41.89438597
1750 N Springfield Ave,On-Market,Industrial,1750 N Springfield Ave,Chicago,IL,60647,N/A,,,33203,,,,,,"$3,250,000.00 ",431,No,-87.7242708,41.9130769
Vacant Owner-UserValue-Add Loop Office Condo  Suite 200,On-Market,Office,"55 W Wacker Drive, Suite 200",Chicago,IL,60601,Vacant,,,,,,,,,"$1,575,000.00 ",1043,No,-87.6300102,41.8864753
Land with Excellent Visibility from Dan Ryan Expy,On-Market,"Land, Retail",8908 S Lafayette Ave,Chicago,IL,60620,Vacant,,,21071,,,,,,"$349,000.00 ",190,No,-87.62598249,41.73244151
"West Ridge - 2251 W. Devon Ave., Chicago, IL- Carry's Lounge",On-Market,Retail,2251 W Devon Ave,Chicago,IL,60659,N/A,,,2698,,2,,,,"$895,000.00 ",1,No,-87.6869604,41.9975978
105 West Chicago Avenue,On-Market,Mixed Use,105 W Chicago Ave,Chicago,IL,60654,N/A,,,7500,,,,,,,621,No,-87.6316624,41.8964621
Chicago Self Service Car Wash,On-Market,Special Purpose,2637 E 100th St,Chicago,IL,60617,N/A,,,4400,,,,,,"$895,000.00 ",99,No,-87.5592435,41.71337787
601 S LaSalle Street,On-Market,Office,601 S La Salle St,Chicago,IL,60605,N/A,,,69170,,,,,,,133,No,-87.6314834,41.8742551
"1348 W Concord Pl , Chicago, IL 60622",On-Market,Office,1348 W Concord Pl,Chicago,IL,60642,Single,,,17250,$200.00 ,3,,,,"$3,450,000.00 ",100,No,-87.66233661,41.91193615
27W270 Jefferson St West Chicago,On-Market,Land,27W270 Jefferson St,West Chicago,IL,60185,N/A,,,,,,,,,"$1,150,000.00 ",103,No,-88.1508777,41.9144308
3055 W Lawrence Avenue,On-Market,"Special Purpose, Land",3055 W Lawrence Avenue,Chicago,IL,60625,N/A,,,,,0,,,,"$799,000.00 ",19,No,-87.7057458,41.9682707
3521-3523 W Lawrence Avenue,On-Market,Special Purpose,3521-3523 W Lawrence Avenue,Chicago,IL,60625,N/A,,,5000,,,,,,"$1,999,000.00 ",364,No,-87.7168477,41.968107
400-424 W 79th St,On-Market,Land,400-424 W 79th St,Chicago,IL,60620,N/A,,,,,,,,,"$725,000.00 ",152,No,-87.6344457,41.750969
J.T. Magen  Company  Single-Tenant Office Investment,On-Market,Office,"55 W Wacker Drive, Suite 1550",Chicago,IL,60601,Single,,1.4,,,,,"$85,378.00 ",8.02%,"$1,065,000.00 ",1043,No,-87.6298719,41.8864369
3957 S. King Dr.  Retail Or Office Condo,On-Market,"Office, Retail",3957 S King Dr,Chicago,IL,60653,Single,,,900,$388.89 ,,,"$15,600.00 ",,"$350,000.00 ",118,No,-87.6164462,41.8223081
1234-1250 N Cicero Avenue,On-Market,"Special Purpose, Land",1234-1250 N Cicero Avenue,Chicago,IL,60651,Vacant,,,,,,,,,"$999,000.00 ",279,No,-87.7461484,41.9033629
5101 W. Division St.,On-Market,"Office, Retail, Special Purpose",5101 W Division St,Chicago,IL,60651,N/A,,,9000,$72.11 ,,,$0.00 ,0.00%,"$649,000.00 ",25,No,-87.75333484,41.90230048
415 N. Dearborn,On-Market,"Mixed Use, Office, Retail",415 N Dearborn St,Chicago,IL,60654,N/A,,,28784,,,,,,,385,No,-87.6294134,41.8897858
2422 S California Avenue  2825 W 24th Boulevard,On-Market,Land,2422 S California Ave & 2825 W 24th Blvd,Chicago,IL,60608,N/A,,,29500,,,,,,,357,Yes,-87.695703,41.847345
1200 West Carroll Avenue,On-Market,Land,1200 W Carroll Ave,Chicago,IL,60607,N/A,,,,,,,,,,191,No,-87.6568567,41.8877034
1157 W 18th St - Assumable Debt,On-Market,Multifamily,1157 W 18th St,Chicago,IL,60608,N/A,,,11906,$356.96 ,13,"$326,923.08 ","$274,687.00 ",6.46%,"$4,250,000.00 ",37,No,-87.6554734,41.8574699
B3-2 Zoned Lot Located Within TOD,On-Market,Land,2252 W 21st St,Chicago,IL,60608,N/A,,,,,,,,,"$185,000.00 ",1139,No,-87.6829201,41.8540812
West Lawn Redevelopment Opportunity,On-Market,Retail,6259 S Kedzie Ave,Chicago,IL,60629,N/A,,,,,,,,,,363,Yes,-87.7029051,41.7792258
7 UNIT CHICAGO,On-Market,Multifamily,7889 S Maryland Ave,Chicago,IL,60619,N/A,,,7650,,7,,,15.00%,"$362,000.00 ",41,Yes,-87.603966,41.7513613
Unique Facility in Humboldt Park,On-Market,Industrial,3705 W Grand Ave,Chicago,IL,60651,Multi,,,20000,$150.00 ,,,,,"$3,000,000.00 ",175,No,-87.7201093,41.9033714
4945 W Berenice,On-Market,Multifamily,4945 W Berenice Ave,Chicago,IL,60641,N/A,,,,,2,,,,"$475,000.00 ",178,No,-87.7516086,41.9504298
For Sale or Lease Development Site on Milwaukee Avenue,On-Market,Retail,5820 N Milwaukee Ave,Chicago,IL,60646,N/A,,,15184,$115.25 ,,,,,"$1,750,000.00 ",265,No,-87.77836031,41.98717828
Ashland Avenue Executive Offices,On-Market,Office,8544 S Ashland Ave,Chicago,IL,60620,N/A,,,2172,,,,"$25,783.00 ",8.59%,"$300,000.00 ",33,No,-87.6635121,41.73812
"3575-3577 w. Belden 2bldgs, 2 lots  AirBnb",On-Market,"Hospitality, Multifamily",3575 W Belden Ave,Chicago,IL,60647,N/A,,,,,3,,,,"$1,599,000.00 ",222,No,-87.71648959,41.92278481
3637 W Division St,On-Market,Retail,3637 W Division St,Chicago,IL,60651,N/A,,,7700,$228.29 ,,,,,"$799,000.00 ",385,Yes,-87.7179855,41.9024124
6017 - 6057 N Western Ave,On-Market,"Retail, Land",6017 - 6057 N Western Ave,Chicago,IL,60659,N/A,,,5305,,,,,,"$4,500,000.00 ",284,No,-87.689331,41.992117
6512 S Ashland Ave,On-Market,"Retail, Mixed Use",6512 S Ashland Ave,Chicago,IL,60636,N/A,,,3000,,,,,,"$295,000.00 ",236,Yes,-87.6643985,41.7753571
NEC of 75th St  Jeffery Blvd,On-Market,Land,2000 E 75th St,Chicago,IL,60649,N/A,,,,,,,,,"$425,000.00 ",1772,No,-87.5756353,41.7591956
3229-3243 N California Ave,On-Market,Land,3243 N California Ave,Chicago,IL,60618,N/A,,,,,,,,,,259,No,-87.6973915,41.9411167
Retail RestaurantBar Opportunity,On-Market,Retail,10350 S Western Ave,Chicago,IL,60643,N/A,,,3996,$162.66 ,,,,,"$650,000.00 ",214,No,-87.6819672,41.7049435
I-290  Western Ave  Redevelopment Opportunity,On-Market,"Land, Mixed Use, Multifamily, Special Purpose",2401 W Congress Pkwy,Chicago,IL,60612,N/A,,,50500,,,,,,,180,No,-87.6865357,41.8746391
3011 East End Ave,On-Market,Industrial,3011 East End Ave,South Chicago Heights,IL,60411,Vacant,,,5000,,,,,,,610,No,-87.6335545,41.4837822
1824 W Hood Ave,On-Market,Multifamily,1824 W Hood Ave,Chicago,IL,60660,N/A,,,3200,,3,"$283,000.00 ","$60,750.00 ",7.16%,"$849,000.00 ",202,No,-87.6762343,41.9933447
7525-7527 N Wolcott Avenue,On-Market,Special Purpose,7525-7527 N Wolcott Avenue,Chicago,IL,60626,N/A,,,15000,,,,,,"$1,499,000.00 ",199,No,-87.6771755,42.0185631
Village Dispensary,On-Market,Retail,1850 W Webster Ave,Chicago,IL,60614,Single,10,8.3,9037,,,,"$583,440.00 ",8.25%,"$7,072,000.00 ",207,No,-87.6755246,41.9219983
"699,000  Car Dealership",On-Market,"Land, Mixed Use, Retail, Special Purpose",2622 N Cicero Ave,Chicago,IL,60639,Single,,,6250,,1,,,,"$699,000.00 ",206,No,-87.7469994,41.9286582
28 E 112th PL,On-Market,Retail,28 E 112th Pl,Chicago,IL,60628,Single,,,,$35.35 ,2,,,,"$865,000.00 ",133,Yes,-87.621904,41.6901406
Bank of America,On-Market,Retail,250 W 83rd St,Chicago,IL,60620,Single,,5.1,4000,,1,,"$306,130.00 ",8.00%,"$3,827,000.00 ",5,No,-87.6314511,41.7437827
ASCEND Wellness,On-Market,Retail,9820 Ridgeland Ave,Chicago Ridge,IL,60415,Single,15,11.5,8925,,,,"$844,132.00 ",9.00%,"$9,379,244.00 ",127,No,-87.780138,41.7143559
7050 S Pulaski Rd.,On-Market,"Industrial, Land, Retail, Self Storage",7050 S Pulaski Rd,Chicago,IL,60629,N/A,,,96268,,,,,,,54,No,-87.72492045,41.76495444
5140 N Clark St,On-Market,"Retail, Multifamily, Mixed Use",5140 N Clark St,Chicago,IL,60640,N/A,,,6800,,4,,,,"$2,150,000.00 ",35,No,-87.6686121,41.9755929
2640 E 75th Street,On-Market,"Retail, Land",2640 E 75th Street,Chicago,IL,60649,N/A,,,,,0,,,,"$499,000.00 ",11,No,-87.560041,41.7592934
24 acres Rt. 31,On-Market,Land,24 acres Rt. 31,Chicago,IL,60606,N/A,,,,,,,,,,2076,No,-87.6371461,41.8817767
Lincoln Office Building,On-Market,Office,5875 N Lincoln Ave,Chicago,IL,60659,N/A,,,35282,$88.63 ,62,,,,"$3,127,000.00 ",252,No,-87.7035844,41.9884261
"2540 W Chicago Ave, Chicago, IL 60622",On-Market,"Mixed Use, Office, Retail",2540 W Chicago Ave,Chicago,IL,60622,N/A,,,1350,,,,,,"$349,000.00 ",321,No,-87.6909466,41.8958351
3951 N Kimball Avenue,On-Market,Retail,3951 N Kimball Ave,Chicago,IL,60618,Multi,,,4738,,,,"$108,294.00 ",,,921,No,-87.7124928,41.9536097
62nd  Western,On-Market,Land,6153 S Western Ave,Chicago,IL,60636,N/A,,,,,,,,,,15,Yes,-87.6538017,41.6773775
INVESTORS looking for CASH FLOW,On-Market,Multifamily,2632 W 21st St,Chicago,IL,60608,N/A,,,3750,,3,,"$76,000.00 ",8.55%,"$889,000.00 ",24,No,-87.691932,41.85409
1434 N Bosworth,On-Market,Multifamily,1434 N Bosworth Ave,Chicago,IL,60642,N/A,,,5166,$387.13 ,6,"$333,316.67 ",,,"$1,999,900.00 ",18,No,-87.66638972,41.90810813
8625 S Stony Island Blvd,On-Market,Retail,8625 S Stony Is Ave,Chicago,IL,60617,N/A,,2,3500,$509.43 ,5,,"$17,601.00 ",7.90%,"$509,000.00 ",368,No,-87.5850148,41.7379796
"525-527 N. Ashland Ave, Chicago, IL",On-Market,"Mixed Use, Office, Retail",525-527 N Ashland Ave,Chicago,IL,60622,Multi,,,,,4,,"$4,400.00 ",0.31%,"$1,400,000.00 ",776,No,-87.66689904,41.89182017
4201 S Michigan Ave. - Strong Assumable Debt,On-Market,Multifamily,4201 S Michigan Ave. Bronzeville,Chicago,IL,60653,N/A,,,30198,$148.19 ,21,"$213,095.24 ","$315,918.00 ",7.06%,"$4,475,000.00 ",36,No,-87.6227986,41.8181597
Little Village Corner Store  Apartment,On-Market,"Mixed Use, Multifamily, Retail",2857 S Kostner Ave,Chicago,IL,60623,N/A,,,1850,,2,,,,"$249,000.00 ",105,No,-87.73410898,41.83860679
1329 W Chicago,On-Market,Retail,1329 W Chicago Ave,Chicago,IL,60642,Single,,4,2779,,,,,9.00%,,818,No,-87.6605598,41.8959572
Chicago Food Production Facility,On-Market,"Business for Sale, Industrial",1325 W 15th St,Chicago,IL,60608,Single,,,53179,$122.23 ,1,"$6,500,000.00 ",,,"$6,500,000.00 ",642,No,-87.659496,41.8612957
"For Sale 24,500 SF Land on Cicero Ave in Belmont Cragin",On-Market,Mixed Use,2825 N Cicero Ave,Chicago,IL,60641,N/A,,,5600,,,,,,,12,No,-87.74657517,41.93216424
1833 W Irving Park Rd,On-Market,Industrial,1833 W Irving Park Rd,Chicago,IL,60613,N/A,,,11876,,,,,,"$1,200,000.00 ",720,No,-87.6755822,41.9539829
3250 W. Lake Street,On-Market,Industrial,3250 W Lake St,Chicago,IL,60624,N/A,,,72419,$36.66 ,,,,,"$2,655,000.00 ",250,No,-87.7080675,41.8845797
Madison  Keeler,On-Market,Land,4153 W Madison St,Chicago,IL,60624,N/A,,,,,,,,,"$29,000.00 ",514,No,-87.7302094,41.8804106
3677 W Grand Ave. Chicago,On-Market,Special Purpose,3677 W Grand Ave,Chicago,IL,60651,N/A,,,5300,,1,,,,"$799,900.00 ",42,No,-87.7194729,41.903028
Kilbourn Park  Irving Park Development Opportunity,On-Market,Land,"4058 W Melrose Street, 3240 & 3301 N Karlov Avenue",Chicago,IL,60632,N/A,,,,,,,,,,154,No,-87.7074089,41.8074687
76th  Stony Shopping Center,On-Market,Retail,7544 S Stony Island Ave,Chicago,IL,60649,Multi,,,66171,,,,"$1,063,666.00 ",9.00%,"$11,800,000.00 ",103,Yes,-87.58658968,41.7575039
Garage on 6 Lots on 59th St.,On-Market,"Retail, Special Purpose",2254 W 59th St,Chicago,IL,60636,N/A,,,2800,,,,,,"$350,000.00 ",209,No,-87.6808006,41.7868367
"545 E Oakwood Blvd , Chicago, IL 60653",On-Market,Land,545 E Oakwood Blvd,Chicago,IL,60653,N/A,,,,,,,,,"$1,099,000.00 ",129,Yes,-87.6125535,41.8223971
Brighton Park Commerical Lot,On-Market,Land,2880 W 48th Pl,Chicago,IL,60632,N/A,,,,,,,,,"$800,000.00 ",196,No,-87.69674663,41.80555824
4192 S Archer Avenue,On-Market,Mixed Use,4192 S Archer Avenue,Chicago,IL,60632,N/A,,,,,0,,,,"$9,600,000.00 ",62,No,-87.6992384,41.8173446
Bronzeville 6 Unit,On-Market,Multifamily,4522 S Calumet Ave,Chicago,IL,60653,N/A,,,,,6,"$158,333.33 ","$70,461.00 ",7.42%,"$950,000.00 ",167,No,-87.6183963,41.8122411
63rd  Ashland,On-Market,Land,1537-1547 W 63rd St,Chicago,IL,60636,N/A,,,,,,,,,"$199,000.00 ",643,Yes,-87.6632769,41.779233
1449 W Irving Park,On-Market,"Office, Retail",1449 W Irving Park Rd,Chicago,IL,60613,Vacant,,,850,$151.76 ,,,,,"$129,000.00 ",208,No,-87.66614,41.9541278
1419 W Diversey - Catering Kitchen w Parking and Office,On-Market,Retail,1419 W Diversey Pkwy,Chicago,IL,60614,N/A,,,11300,$265.49 ,,,,,"$3,000,000.00 ",289,No,-87.6644544,41.9322874
421 N Aberdeen 1 of 5 Adjacent Parcels in Fulton Market,On-Market,"Retail, Office, Industrial, Mixed Use",421 N Aberdeen St,Chicago,IL,60642,Vacant,,,5330,,,,,,"$1,350,000.00 ",50,No,-87.65461324,41.88965924
"10139 S Western Ave , Chicago, IL 60643",On-Market,"Mixed Use, Office, Retail",10139 S Western Ave,Chicago,IL,60643,N/A,,,,,3,,,,"$599,000.00 ",7,No,-87.6814393,41.7087692
PATTERSON'S TOWING  AUTO SALES,On-Market,Industrial,10106 S Michigan Ave,Chicago,IL,60628,Single,,,3500,,3,,,,,62,No,-87.6201615,41.7105621
"334 E. 75th St., Chicago, 60619",On-Market,Mixed Use,334 E 75th St,Chicago,IL,60619,Multi,,,5392,$78.80 ,4,"$106,225.00 ","$35,400.00 ",8.35%,"$424,900.00 ",4,Yes,-87.6169515,41.758494
62 W Huron Street,On-Market,"Mixed Use, Office",62 W Huron St,Chicago,IL,60654,N/A,,,3000,,,,,,"$750,000.00 ",46,No,-87.6305699,41.8950813
7121-23 S Normal Blvd,On-Market,Multifamily,7121-23 S Normal Blvd,Chicago,IL,60621,N/A,,,8414,,6,"$148,333.33 ","$85,833.00 ",10.11%,"$849,000.00 ",26,No,-87.6368028,41.7646317
"31st  Kedzie, Chicago - NWC",On-Market,Land,31st St. & S. Kedzie,Chicago,IL,60623,N/A,,,,,,,,,,770,No,-87.70518303,41.83720736
"1745 N Cicero Ave, Chicago, IL 2 unit ResComAutoMixed",On-Market,"Mixed Use, Retail",1745 N Cicero Ave,Chicago,IL,60639,Multi,1,0.2,3100,$123.39 ,2,"$191,250.00 ",,,"$382,500.00 ",287,No,-87.7456238,41.9128071
Top View Restaurant,On-Market,"Business for Sale, Retail",4715 W 63rd St,Chicago,IL,60629,N/A,,,4000,,,,,,"$1,599,000.00 ",132,No,-87.74042931,41.77843567
Quality Auto Mart,On-Market,Land,4675 S Archer Ave,Chicago,IL,60632,N/A,,,,,,,,,"$1,495,000.00 ",227,No,-87.7129994,41.8083465
3115 N Lincoln Avenue,On-Market,"Retail, Land",3115 N Lincoln Avenue,Chicago,IL,60657,N/A,,,,,0,,,,"$950,000.00 ",1,No,-87.6666544,41.938492
3-Unit Greystone  Fully Renovated,On-Market,Multifamily,5419 S Wabash Ave,Chicago,IL,60615,N/A,,,4082,$183.73 ,3,"$256,666.67 ",,,"$750,000.00 ",130,Yes,-87.62410903,41.79593284
5153-5159 W Diversey Avenue,On-Market,"Retail, Land",5153 W Diversey Avenue,Chicago,IL,60639,Multi,,5,7500,,,,,7.50%,"$1,329,000.00 ",228,No,-87.7560477,41.9312166
1830-1856 N Kostner Ave,On-Market,"Office, Industrial",1830-1856 N Kostner Ave,Chicago,IL,60639,N/A,,,151500,,,,,,"$7,225,000.00 ",126,No,-87.736417,41.9144003
95th  Paxton Land,On-Market,Land,9507 S Paxton Ave,Chicago,IL,60617,N/A,,,,,,,,,"$350,000.00 ",691,No,-87.570298,41.722224
North Avenue and Atlantic,On-Market,Land,0000 North Avenue,West Chicago,IL,60185,N/A,,,,,,,,,"$2,600,000.00 ",158,No,-88.2029465,41.9144065
"1738 W 79th St , Chicago, IL 60638",On-Market,Mixed Use,1738 W 79th St,Chicago,IL,60620,N/A,,,3795,,,,,,"$409,900.00 ",187,No,-87.6674178,41.7504813
4818 S Pulaski Rd,On-Market,"Retail, Office, Mixed Use",4818 S Pulaski Rd,Chicago,IL,60632,N/A,,,5400,$69.44 ,2,,,,"$375,000.00 ",1025,No,-87.7238328,41.8054357
5801 N Lincoln Avenue,On-Market,"Retail, Land",5801 N Lincoln Avenue,Chicago,IL,60659,N/A,,,,,0,,"$66,000.00 ",8.26%,"$799,000.00 ",75,No,-87.7013153,41.9871828
4601-33 S Halsted St.,On-Market,Land,4619 S Halsted St,Chicago,IL,60609,N/A,,,,,,,,,"$1,500,000.00 ",297,No,-87.645203,41.810025
Vacant Owner-UserValue-Add Loop Office Condo  Suite 600-B,On-Market,Office,"55 W Wacker Drive, Suite 600-B",Chicago,IL,60601,Vacant,,,,,,,,,"$505,000.00 ",1043,No,-87.6300102,41.8864753
Taco Bell,On-Market,Retail,3509 N Harlem Ave,Chicago,IL,60634,Single,10.6,4.7,1986,"$1,030.97 ",,,"$122,850.00 ",6.00%,"$2,047,500.00 ",92,No,-87.80671895,41.94347388
523 W. 65th,On-Market,Multifamily,523 W 65th Pl,Chicago,IL,60621,N/A,,,4200,$142.38 ,4,"$149,500.00 ","$49,020.00 ",8.20%,"$598,000.00 ",496,Yes,-87.6377778,41.7751202
"213 Main Street  West Chicago, IL",On-Market,"Mixed Use, Retail",213 Main St,West Chicago,IL,60185,N/A,,,6400,,2,,,,"$400,000.00 ",22,No,-88.2033915,41.8835064
6557 S Minerva - 10-Unit Apartment Building,On-Market,Multifamily,6557 S Minerva Ave,Chicago,IL,60637,N/A,,,,,10,"$160,000.00 ","$123,381.00 ",7.71%,"$1,600,000.00 ",179,Yes,-87.59733868,41.77508566
Second-Generation Restaurant Building with FFE Included,On-Market,Retail,6230 S Western Ave,Chicago,IL,60636,Vacant,,,2250,,,,,,"$295,000.00 ",21,Yes,-87.68371782,41.7801486
156 W 95th St,On-Market,Retail,156 W 95th St,Chicago,IL,60628,Single,,,1800,$105.50 ,1,,,,"$189,900.00 ",1278,Yes,-87.62863592,41.72178471
1637 N Lowell Ave,On-Market,Industrial,1637 N Lowell Ave,Chicago,IL,60639,N/A,,,17000,,,,,,"$525,000.00 ",166,No,-87.7345542,41.9110986
5301-5323 S. WESTERN AVE,On-Market,Retail,5301-5323 S. WESTERN AVE,Chicago,IL,60609,N/A,,,308000,$42.50 ,,,,,"$13,090,000.00 ",280,No,-87.6813058,41.7972451
Development - Cicero and Armitage - 7 pins,On-Market,Land,4612 W Armitage Ave,Chicago,IL,60639,N/A,,,,,,,,,"$3,000,000.00 ",69,No,-87.7418133,41.91700633
SWC Route 64 and 59,On-Market,Land,Illinois Rte 59,West Chicago,IL,60185,N/A,,,,,,,,,"$699,000.00 ",1617,No,-88.1943952,41.8929836
"2022-2026 W 95th St. Chicago, IL 60643",On-Market,"Mixed Use, Office, Retail",2022 W 95th St,Chicago,IL,60643,N/A,,,7575,$131.35 ,,,,,"$995,000.00 ",28,No,-87.6734391,41.7211332
Stony Southside Portfolio,On-Market,Multifamily,5825 S Michigan Ave,Chicago,IL,60637,N/A,,,91510,,103,,,7.77%,"$8,240,000.00 ",494,Yes,-87.6219263,41.788485
6335 N Mozart Ave,On-Market,Land,6335 N Mozart St,Chicago,IL,60659,N/A,,,,,,,,,"$249,900.00 ",28,No,-87.7004719,41.9966976
4777 N. Milwaukee Avenue,On-Market,Retail,4777 N Milwaukee Ave,Chicago,IL,60630,N/A,,,10880,,,,"$324,760.00 ",,"$4,000,000.00 ",570,No,-87.7599194,41.9673999
6000 W Montrose Ave,On-Market,Retail,6000 W Montrose Ave,Chicago,IL,60634,Single,,,1600,$531.25 ,,,,,"$850,000.00 ",1323,No,-87.77698659,41.96056398
Prime Commercial Land for Sale in Evergreen Park IL,On-Market,Land,3101 W 87th St,Chicago,IL,60652,N/A,,,,,,,,,"$310,000.00 ",147,No,-87.700622,41.734971
Curry Kitchen,On-Market,Retail,5304 W Devon,Chicago,IL,60646,Single,5,4.3,2300,$304.35 ,1,,"$54,114.00 ",7.73%,"$700,000.00 ",66,No,-87.76095546,41.99741308
2651-59 W. North Ave.,On-Market,"Mixed Use, Multifamily",2651 W North Ave,Chicago,IL,60647,N/A,,,,,11,,,,"$1,200,000.00 ",74,No,-87.69442285,41.91018493
525 W 119th St,On-Market,Office,525 W 119th St,Chicago,IL,60628,Single,,,700,$198.57 ,,,,,"$139,000.00 ",1527,No,-87.635739,41.6777382
Imperial Lofts,On-Market,Multifamily,1528 S Wabash Ave,Chicago,IL,60605,N/A,,,61338,,51,,,,"$14,995,000.00 ",180,No,-87.62572627,41.86099281
Portage Park Development Land,On-Market,Land,4611 N Milwaukee Ave,Chicago,IL,60630,N/A,,,,,,,,,"$2,950,000.00 ",1440,No,-87.757408,41.964479
The 1900 Block Portfolio  2 Buildings on Chicago Ave,On-Market,"Mixed Use, Multifamily, Retail",1912 W Chicago Ave,Chicago,IL,60622,Multi,,,7589,$276.45 ,4,,,,"$2,098,000.00 ",236,No,-87.67537027,41.89596089
9401 S. Pulaski Rd.,On-Market,Office,9401 S Pulaski Rd,Chicago,IL,60805,Vacant,,,1837,$81.11 ,,,,,"$149,000.00 ",655,No,-87.72147079,41.72198932
